"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-06","1","Master Contract","1068-03-025","1068-03-025","No (Single CSJ)","1",,"Tarrant",,,,"1720788.26"
"2026-06","2","Master Contract","6498-61-001","6498-61-001","No (Single CSJ)","1",,"Polk",,,,"188500"
"2026-06","3","Master Contract","6503-69-001","6503-69-001","No (Single CSJ)","1",,"Tom Green",,,,"98337"
"2026-06","4","Master Contract","0050-12-002","0050-12-002","No (Single CSJ)","1",,"Harris",,,,"785715.19"
"2026-06","5","Master Contract","0261-01-053","0261-01-053","No (Single CSJ)","1",,"Ellis",,,,"5220420.28"
"2026-06","6","Master Contract","0027-12-164","0027-12-164","Yes (7 Sub-CSJs)","7",,"Fort Bend",,,,"6272429.63"
"2026-06","7","Master Contract","1601-02-036","1601-02-036","No (Single CSJ)","1",,"Parker",,,,"8270038.7"
"2026-06","8","Master Contract","0065-08-173","0065-08-173","No (Single CSJ)","1",,"Jefferson",,,,"4685457"
"2026-06","9","Master Contract","6504-10-001","6504-10-001","No (Single CSJ)","1",,"Brown",,,,"950640"
"2026-06","10","Master Contract","6502-93-001","6502-93-001","No (Single CSJ)","1",,"Jackson",,,,"10135"
"2026-06","11","Master Contract","6495-60-001","6495-60-001","No (Single CSJ)","1",,"Waller",,,,"306205.78"
"2026-06","12","Master Contract","0916-36-023","0916-36-023","No (Single CSJ)","1",,"Karnes",,,,"1115074.8"
"2026-06","13","Master Contract","6498-37-001","6498-37-001","No (Single CSJ)","1",,"Brazoria",,,,"1276673.74"
"2026-06","14","Master Contract","6500-88-001","6500-88-001","No (Single CSJ)","1",,"Wichita",,,,"489500"
"2026-06","15","Master Contract","6502-38-001","6502-38-001","No (Single CSJ)","1",,"Brazos",,,,"364160"
"2026-06","16","Master Contract","6500-95-001","6500-95-001","No (Single CSJ)","1",,"Tarrant",,,,"1114521.98"
"2026-06","17","Master Contract","6502-32-001","6502-32-001","No (Single CSJ)","1",,"Brazos",,,,"231369"
"2026-06","18","Master Contract","0914-04-364","0914-04-364","No (Single CSJ)","1",,"Travis",,,,"516136.3"
"2026-06","19","Master Contract","0019-01-146","0019-01-146","No (Single CSJ)","1",,"Johnson",,,,"20058072.07"
"2026-06","20","Master Contract","0915-00-281","0915-00-281","No (Single CSJ)","1",,"Bexar",,,,"1034924"
"2026-06","21","Master Contract","6502-23-001","6502-23-001","No (Single CSJ)","1",,"Montague",,,,"618803"
"2026-06","22","Master Contract","6500-56-001","6500-56-001","No (Single CSJ)","1",,"Hood",,,,"285926.28"
"2026-06","23","Master Contract","6498-86-001","6498-86-001","No (Single CSJ)","1",,"El Paso",,,,"903130"
"2026-06","24","Master Contract","0231-03-156","0231-03-156","No (Single CSJ)","1",,"Bell",,,,"3792762.86"
"2026-06","25","Master Contract","0105-04-047","0105-04-047","Yes (2 Sub-CSJs)","2",,"Motley",,,,"3331356.57"
"2026-06","26","Master Contract","0291-03-077","0291-03-077","Yes (2 Sub-CSJs)","2",,"Kerr",,,,"4462547"
"2026-06","27","Master Contract","0916-26-024","0916-26-024","No (Single CSJ)","1",,"Goliad",,,,"1292157.8"
"2026-06","28","Master Contract","6504-68-001","6504-68-001","No (Single CSJ)","1",,"Midland",,,,"43570.88"
"2026-06","29","Master Contract","6499-36-001","6499-36-001","No (Single CSJ)","1",,"Washington",,,,"635259.83"
"2026-06","30","Master Contract","2993-01-011","2993-01-011","No (Single CSJ)","1",,"Lamar",,,,"4618483.94"
"2026-06","31","Master Contract","6498-78-001","6498-78-001","No (Single CSJ)","1",,"Navarro",,,,"1261224.58"
"2026-06","32","Master Contract","0914-05-264","0914-05-264","No (Single CSJ)","1",,"Williamson",,,,"2098984.02"
"2026-06","33","Master Contract","6497-90-001","6497-90-001","No (Single CSJ)","1",,"Waller",,,,"314696"
"2026-06","34","Master Contract","6494-61-001","6494-61-001","No (Single CSJ)","1",,"Fort Bend",,,,"508767.5"
"2026-06","35","Master Contract","6502-21-001","6502-21-001","No (Single CSJ)","1",,"Wichita",,,,"942600"
"2026-06","36","Master Contract","6487-36-001","6487-36-001","No (Single CSJ)","1",,"Hays",,,,"283905.45"
"2026-06","37","Master Contract","2150-04-080","2150-04-080","No (Single CSJ)","1",,"Webb",,,,"3395617.48"
"2026-06","38","Master Contract","6502-27-001","6502-27-001","No (Single CSJ)","1",,"Throckmorton",,,,"618803"
"2026-06","39","Master Contract","6500-57-001","6500-57-001","No (Single CSJ)","1",,"Maverick",,,,"439480"
"2026-06","40","Master Contract","6497-64-001","6497-64-001","No (Single CSJ)","1",,"El Paso",,,,"502940.75"
"2026-06","41","Master Contract","0909-00-108","0909-00-108","No (Single CSJ)","1",,"Mclennan",,,,"3511970.5"
"2026-06","42","Master Contract","6491-09-001","6491-09-001","No (Single CSJ)","1",,"Hidalgo",,,,"6820553.31"
"2026-06","43","Master Contract","0920-00-167","0920-00-167","Yes (3 Sub-CSJs)","3",,"Jefferson",,,,"6716109.16"
"2026-06","44","Master Contract","6500-87-001","6500-87-001","No (Single CSJ)","1",,"Wichita",,,,"1736490"
"2026-06","45","Master Contract","6500-07-001","6500-07-001","No (Single CSJ)","1",,"Hale",,,,"218476"
"2026-06","46","Master Contract","6502-26-001","6502-26-001","No (Single CSJ)","1",,"Clay",,,,"618803"
"2026-06","47","Master Contract","0916-00-283","0916-00-283","No (Single CSJ)","1",,"Nueces",,,,"514400.5"
"2026-06","48","Master Contract","6498-08-001","6498-08-001","No (Single CSJ)","1",,"Hill",,,,"804077.49"
"2026-06","49","Master Contract","0910-00-157","0910-00-157","No (Single CSJ)","1",,"Smith",,,,"726421"
"2026-06","50","Master Contract","6501-10-001","6501-10-001","No (Single CSJ)","1",,"Childress",,,,"1999375"
"2026-06","51","Master Contract","6504-08-001","6504-08-001","No (Single CSJ)","1",,"Lampasas",,,,"118350"
"2026-06","52","Master Contract","6502-34-001","6502-34-001","No (Single CSJ)","1",,"Brazos",,,,"154500"
"2026-06","53","Master Contract","6504-09-001","6504-09-001","No (Single CSJ)","1",,"Dallas",,,,"3900232"
"2026-06","54","Master Contract","0105-06-023","0105-06-023","No (Single CSJ)","1",,"Dickens",,,,"3732460.07"
"2026-06","55","Master Contract","6499-85-001","6499-85-001","No (Single CSJ)","1",,"Chambers",,,,"509774.4"
"2026-06","56","Master Contract","6503-81-001","6503-81-001","No (Single CSJ)","1",,"Lampasas",,,,"239132"
"2026-06","57","Master Contract","0924-00-162","0924-00-162","No (Single CSJ)","1",,"El Paso",,,,"769257.28"
"2026-06","58","Master Contract","0315-03-070","0315-03-070","No (Single CSJ)","1",,"Grimes",,,,"1274703.96"
"2026-06","59","Master Contract","0914-00-577","0914-00-577","No (Single CSJ)","1",,"Travis",,,,"500263"
"2026-06","60","Master Contract","6503-63-001","6503-63-001","No (Single CSJ)","1",,"Titus",,,,"149479.98"
"2026-06","61","Master Contract","0167-01-122","0167-01-122","Yes (2 Sub-CSJs)","2",,"El Paso",,,,"85671122.8"
"2026-06","62","Master Contract","6499-02-001","6499-02-001","No (Single CSJ)","1",,"Houston",,,,"775525"
"2026-06","63","Master Contract","1068-04-181","1068-04-181","Yes (3 Sub-CSJs)","3",,"Dallas",,,,"2403467.25"
"2026-06","64","Master Contract","6503-64-001","6503-64-001","No (Single CSJ)","1",,"Upshur",,,,"14491"
"2026-06","65","Master Contract","0918-47-490","0918-47-490","No (Single CSJ)","1",,"Dallas",,,,"436623.5"
"2026-06","66","Master Contract","0916-37-038","0916-37-038","No (Single CSJ)","1",,"Jim Wells",,,,"915014.8"
"2026-06","67","Master Contract","0366-02-089","0366-02-089","No (Single CSJ)","1",,"Guadalupe",,,,"47767491.02"
"2026-06","68","Master Contract","0177-01-121","0177-01-121","No (Single CSJ)","1",,"Polk",,,,"486501"
"2026-06","69","Master Contract","6499-84-001","6499-84-001","No (Single CSJ)","1",,"Liberty",,,,"693480.79"
"2026-06","70","Master Contract","6502-29-001","6502-29-001","No (Single CSJ)","1",,"Wichita",,,,"790823"
"2026-06","71","Master Contract","6504-07-001","6504-07-001","No (Single CSJ)","1",,"Gonzales",,,,"79972"
"2026-06","72","Master Contract","1179-02-041","1179-02-041","No (Single CSJ)","1",,"Parker",,,,"13679045.04"
"2026-06","73","Master Contract","0915-00-283","0915-00-283","Yes (8 Sub-CSJs)","8",,"Bexar",,,,"9327084.54"
