"Month","Sub Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-08","1","Sub-CSJ Project","0132-03-036","0133-01-055","Sub-CSJ of 0132-03-036","Sub-CSJ #2",,"King",,,,".00"
"2026-08","2","Sub-CSJ Project","3510-04-070","3510-04-072","Sub-CSJ of 3510-04-070","Sub-CSJ #2",,"Fort Bend",,,,".00"
"2026-08","3","Sub-CSJ Project","0025-02-234","0521-06-175","Sub-CSJ of 0025-02-234","Sub-CSJ #2",,"Bexar",,,,".00"
"2026-08","4","Sub-CSJ Project","1023-01-039","1023-01-040","Sub-CSJ of 1023-01-039","Sub-CSJ #2",,"Chambers",,,,".00"
"2026-08","5","Sub-CSJ Project","0186-03-071","0116-02-049","Sub-CSJ of 0186-03-071","Sub-CSJ #2",,"Burleson",,,,".00"
"2026-08","6","Sub-CSJ Project","0092-06-111","0093-01-108","Sub-CSJ of 0092-06-111","Sub-CSJ #2",,"Navarro",,,,".00"
"2026-08","7","Sub-CSJ Project","0092-06-111","0166-01-060","Sub-CSJ of 0092-06-111","Sub-CSJ #3",,"Navarro",,,,".00"
"2026-08","8","Sub-CSJ Project","0014-15-034","0902-48-579","Sub-CSJ of 0014-15-034","Sub-CSJ #2",,"Tarrant",,,,".00"
"2026-08","9","Sub-CSJ Project","0014-15-034","0014-15-036","Sub-CSJ of 0014-15-034","Sub-CSJ #3",,"Tarrant",,,,".00"
"2026-08","10","Sub-CSJ Project","0014-15-034","0014-15-035","Sub-CSJ of 0014-15-034","Sub-CSJ #4",,"Tarrant",,,,".00"
"2026-08","11","Sub-CSJ Project","0014-15-034","0014-15-033","Sub-CSJ of 0014-15-034","Sub-CSJ #5",,"Tarrant",,,,".00"
"2026-08","12","Sub-CSJ Project","3510-04-069","3510-04-071","Sub-CSJ of 3510-04-069","Sub-CSJ #2",,"Fort Bend",,,,".00"
"2026-08","13","Sub-CSJ Project","0041-07-121","0041-07-123","Sub-CSJ of 0041-07-121","Sub-CSJ #2",,"Potter",,,,".00"
