"Month","Sub Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-07","1","Sub-CSJ Project","0053-08-077","0053-09-082","Sub-CSJ of 0053-08-077","Sub-CSJ #2",,"Scurry",,,,".00"
"2026-07","2","Sub-CSJ Project","0915-12-751","0915-12-753","Sub-CSJ of 0915-12-751","Sub-CSJ #2",,"Bexar",,,,".00"
"2026-07","3","Sub-CSJ Project","0915-12-751","0915-12-752","Sub-CSJ of 0915-12-751","Sub-CSJ #3",,"Bexar",,,,".00"
"2026-07","4","Sub-CSJ Project","1502-01-031","0068-01-073","Sub-CSJ of 1502-01-031","Sub-CSJ #2",,"Lubbock",,,,".00"
"2026-07","5","Sub-CSJ Project","0187-05-066","0543-02-086","Sub-CSJ of 0187-05-066","Sub-CSJ #2",,"Fort Bend",,,,".00"
"2026-07","6","Sub-CSJ Project","0675-08-121","3510-04-065","Sub-CSJ of 0675-08-121","Sub-CSJ #2",,"Montgomery",,,,".00"
"2026-07","7","Sub-CSJ Project","0675-08-121","3510-04-064","Sub-CSJ of 0675-08-121","Sub-CSJ #3",,"Montgomery",,,,".00"
"2026-07","8","Sub-CSJ Project","0492-04-034","0492-04-041","Sub-CSJ of 0492-04-034","Sub-CSJ #2",,"Smith",,,,".00"
"2026-07","9","Sub-CSJ Project","0088-02-063","0088-03-050","Sub-CSJ of 0088-02-063","Sub-CSJ #2",,"Goliad",,,,".00"
"2026-07","10","Sub-CSJ Project","0114-09-103","0186-04-036","Sub-CSJ of 0114-09-103","Sub-CSJ #2",,"Washington",,,,".00"
"2026-07","11","Sub-CSJ Project","0114-09-103","0186-03-074","Sub-CSJ of 0114-09-103","Sub-CSJ #3",,"Washington",,,,".00"
"2026-07","12","Sub-CSJ Project","0114-09-103","0186-03-073","Sub-CSJ of 0114-09-103","Sub-CSJ #4",,"Washington",,,,".00"
"2026-07","13","Sub-CSJ Project","0114-09-103","0185-02-042","Sub-CSJ of 0114-09-103","Sub-CSJ #5",,"Washington",,,,".00"
"2026-07","14","Sub-CSJ Project","0114-09-103","0185-03-037","Sub-CSJ of 0114-09-103","Sub-CSJ #6",,"Washington",,,,".00"
"2026-07","15","Sub-CSJ Project","0114-09-103","0204-05-046","Sub-CSJ of 0114-09-103","Sub-CSJ #7",,"Washington",,,,".00"
"2026-07","16","Sub-CSJ Project","0114-09-103","0262-07-047","Sub-CSJ of 0114-09-103","Sub-CSJ #8",,"Washington",,,,".00"
"2026-07","17","Sub-CSJ Project","0114-09-103","1953-01-035","Sub-CSJ of 0114-09-103","Sub-CSJ #9",,"Washington",,,,".00"
"2026-07","18","Sub-CSJ Project","0114-09-103","2133-02-016","Sub-CSJ of 0114-09-103","Sub-CSJ #10",,"Washington",,,,".00"
"2026-07","19","Sub-CSJ Project","0081-10-057","0081-16-004","Sub-CSJ of 0081-10-057","Sub-CSJ #2",,"Grayson",,,,".00"
"2026-07","20","Sub-CSJ Project","0902-90-129","0902-90-270","Sub-CSJ of 0902-90-129","Sub-CSJ #2",,"Tarrant",,,,".00"
"2026-07","21","Sub-CSJ Project","0978-01-045","0978-02-085","Sub-CSJ of 0978-01-045","Sub-CSJ #2",,"Galveston",,,,".00"
"2026-07","22","Sub-CSJ Project","0978-01-045","0051-03-122","Sub-CSJ of 0978-01-045","Sub-CSJ #3",,"Galveston",,,,".00"
"2026-07","23","Sub-CSJ Project","0914-04-367","0914-04-369","Sub-CSJ of 0914-04-367","Sub-CSJ #2",,"Travis",,,,".00"
"2026-07","24","Sub-CSJ Project","0914-04-367","0914-04-368","Sub-CSJ of 0914-04-367","Sub-CSJ #3",,"Travis",,,,".00"
"2026-07","25","Sub-CSJ Project","0009-11-269","0261-02-086","Sub-CSJ of 0009-11-269","Sub-CSJ #2",,"Dallas",,,,".00"
"2026-07","26","Sub-CSJ Project","0009-11-269","0918-00-474","Sub-CSJ of 0009-11-269","Sub-CSJ #3",,"Dallas",,,,".00"
"2026-07","27","Sub-CSJ Project","0009-11-269","0261-01-052","Sub-CSJ of 0009-11-269","Sub-CSJ #4",,"Dallas",,,,".00"
"2026-07","28","Sub-CSJ Project","0009-11-269","0260-02-055","Sub-CSJ of 0009-11-269","Sub-CSJ #5",,"Dallas",,,,".00"
"2026-07","29","Sub-CSJ Project","0009-11-269","0047-06-176","Sub-CSJ of 0009-11-269","Sub-CSJ #6",,"Dallas",,,,".00"
"2026-07","30","Sub-CSJ Project","0009-11-269","0047-06-175","Sub-CSJ of 0009-11-269","Sub-CSJ #7",,"Dallas",,,,".00"
"2026-07","31","Sub-CSJ Project","0009-11-269","0092-14-107","Sub-CSJ of 0009-11-269","Sub-CSJ #8",,"Dallas",,,,".00"
"2026-07","32","Sub-CSJ Project","0009-11-269","0092-02-146","Sub-CSJ of 0009-11-269","Sub-CSJ #9",,"Dallas",,,,".00"
"2026-07","33","Sub-CSJ Project","0009-11-269","0047-07-248","Sub-CSJ of 0009-11-269","Sub-CSJ #10",,"Dallas",,,,".00"
"2026-07","34","Sub-CSJ Project","0009-11-269","2374-02-166","Sub-CSJ of 0009-11-269","Sub-CSJ #11",,"Dallas",,,,".00"
"2026-07","35","Sub-CSJ Project","0009-11-269","3000-01-027","Sub-CSJ of 0009-11-269","Sub-CSJ #12",,"Dallas",,,,".00"
"2026-07","36","Sub-CSJ Project","0070-03-062","0070-04-041","Sub-CSJ of 0070-03-062","Sub-CSJ #2",,"Concho",,,,".00"
"2026-07","37","Sub-CSJ Project","0165-02-061","0165-03-036","Sub-CSJ of 0165-02-061","Sub-CSJ #2",,"Smith",,,,".00"
"2026-07","38","Sub-CSJ Project","0371-05-022","3116-01-033","Sub-CSJ of 0371-05-022","Sub-CSJ #2",,"San Patricio",,,,".00"
"2026-07","39","Sub-CSJ Project","0371-05-022","1294-02-022","Sub-CSJ of 0371-05-022","Sub-CSJ #3",,"San Patricio",,,,".00"
"2026-07","40","Sub-CSJ Project","0371-05-022","2942-02-019","Sub-CSJ of 0371-05-022","Sub-CSJ #4",,"San Patricio",,,,".00"
"2026-07","41","Sub-CSJ Project","0371-05-022","1115-01-010","Sub-CSJ of 0371-05-022","Sub-CSJ #5",,"San Patricio",,,,".00"
"2026-07","42","Sub-CSJ Project","0371-05-022","1446-01-016","Sub-CSJ of 0371-05-022","Sub-CSJ #6",,"San Patricio",,,,".00"
"2026-07","43","Sub-CSJ Project","0371-05-022","1555-01-009","Sub-CSJ of 0371-05-022","Sub-CSJ #7",,"San Patricio",,,,".00"
