"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-09","1","Master Contract","6506-98-001","6506-98-001","No (Single CSJ)","1",,"Smith",,,,"260372"
"2026-09","2","Master Contract","0844-04-011","0844-04-011","Yes (2 Sub-CSJs)","2",,"Collingsworth",,,,"3287111.48"
"2026-09",,"Sub-CSJ Project","0844-04-011","2252-01-010","Sub-CSJ of 0844-04-011","Sub-CSJ #2",,"Collingsworth",,,,".00"
"2026-09","3","Master Contract","6504-65-001","6504-65-001","No (Single CSJ)","1",,"Navarro",,,,"1"
"2026-09","4","Master Contract","6499-61-001","6499-61-001","No (Single CSJ)","1",,"Montgomery",,,,"727189.5"
"2026-09","5","Master Contract","1352-01-025","1352-01-025","No (Single CSJ)","1",,"Montague",,,,"350000"
"2026-09","6","Master Contract","1414-01-025","1414-01-025","Yes (6 Sub-CSJs)","6",,"Galveston",,,,"1394168.54"
"2026-09",,"Sub-CSJ Project","1414-01-025","0912-72-876","Sub-CSJ of 1414-01-025","Sub-CSJ #2",,"Galveston",,,,".00"
"2026-09",,"Sub-CSJ Project","1414-01-025","0981-02-014","Sub-CSJ of 1414-01-025","Sub-CSJ #3",,"Galveston",,,,".00"
"2026-09",,"Sub-CSJ Project","1414-01-025","1844-02-025","Sub-CSJ of 1414-01-025","Sub-CSJ #4",,"Galveston",,,,".00"
"2026-09",,"Sub-CSJ Project","1414-01-025","3055-01-011","Sub-CSJ of 1414-01-025","Sub-CSJ #5",,"Galveston",,,,".00"
"2026-09",,"Sub-CSJ Project","1414-01-025","1844-01-032","Sub-CSJ of 1414-01-025","Sub-CSJ #6",,"Galveston",,,,".00"
"2026-09","7","Master Contract","0001-01-075","0001-01-075","Yes (13 Sub-CSJs)","13",,"El Paso",,,,"3804564"
"2026-09",,"Sub-CSJ Project","0001-01-075","0167-01-136","Sub-CSJ of 0001-01-075","Sub-CSJ #2",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","2326-01-032","Sub-CSJ of 0001-01-075","Sub-CSJ #3",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","1046-01-048","Sub-CSJ of 0001-01-075","Sub-CSJ #4",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0674-01-079","Sub-CSJ of 0001-01-075","Sub-CSJ #5",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0167-01-135","Sub-CSJ of 0001-01-075","Sub-CSJ #6",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0001-04-107","Sub-CSJ of 0001-01-075","Sub-CSJ #7",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0924-06-716","Sub-CSJ of 0001-01-075","Sub-CSJ #8",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0924-06-724","Sub-CSJ of 0001-01-075","Sub-CSJ #9",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0924-06-721","Sub-CSJ of 0001-01-075","Sub-CSJ #10",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0001-04-106","Sub-CSJ of 0001-01-075","Sub-CSJ #11",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","0674-01-080","Sub-CSJ of 0001-01-075","Sub-CSJ #12",,"El Paso",,,,".00"
"2026-09",,"Sub-CSJ Project","0001-01-075","3451-01-050","Sub-CSJ of 0001-01-075","Sub-CSJ #13",,"El Paso",,,,".00"
"2026-09","8","Master Contract","6491-31-001","6491-31-001","No (Single CSJ)","1",,"Liberty",,,,"492586.8"
"2026-09","9","Master Contract","6507-30-001","6507-30-001","No (Single CSJ)","1",,"Walker",,,,"82500"
"2026-09","10","Master Contract","6509-63-001","6509-63-001","No (Single CSJ)","1",,"Lubbock",,,,"175000"
"2026-09","11","Master Contract","6506-55-001","6506-55-001","No (Single CSJ)","1",,"Grayson",,,,"720196.8"
"2026-09","12","Master Contract","0172-09-047","0172-09-047","No (Single CSJ)","1",,"Tarrant",,,,"3514144.18"
"2026-09","13","Master Contract","6502-07-001","6502-07-001","No (Single CSJ)","1",,"Navarro",,,,"159700"
"2026-09","14","Master Contract","6503-74-001","6503-74-001","No (Single CSJ)","1",,"Nacogdoches",,,,"687750"
"2026-09","15","Master Contract","6506-32-001","6506-32-001","No (Single CSJ)","1",,"Nacogdoches",,,,"997023"
"2026-09","16","Master Contract","6500-58-001","6500-58-001","No (Single CSJ)","1",,"Webb",,,,"6683574.77"
