"Letting Month","Controlling CSJ","Letting Category","County","Proposal File Name","TxDOT FTP Link","Bid Cobra Included"
"August 2026 (2026-08)","6498-38-001","Local-Let Maintenance (District)","Anderson","Anderson 6498-38-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Anderson%206498-38-001.pdf","YES"
"August 2026 (2026-08)","6506-21-001","Local-Let Maintenance (District)","Tarrant","Tarrant 6506-21-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Tarrant%206506-21-001.pdf","YES"
"August 2026 (2026-08)","0018-05-089","State-Let Construction","Webb","Webb 0018-05-089 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Webb%200018-05-089%20Proposal.pdf","YES"
"August 2026 (2026-08)","0922-00-080","State-Let Construction","Webb","Webb 0922-00-080 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Webb%200922-00-080%20Proposal.pdf","YES"
"August 2026 (2026-08)","6507-25-001","Local-Let Maintenance (District)","Randall","Randall 6507-25-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Randall%206507-25-001.pdf","YES"
"August 2026 (2026-08)","6505-52-001","State-Let Maintenance","Dallam","Dallam 6505-52-001 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Maintenance/2026/08%20August/08%20Proposals/Dallam%206505-52-001%20Proposal.pdf","YES"
"August 2026 (2026-08)","6505-09-001","Local-Let Maintenance (District)","Midland","Midland 6505-09-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Midland%206505-09-001.pdf","YES"
"August 2026 (2026-08)","6504-51-001","Local-Let Maintenance (District)","Wise","Wise 6504-51-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Wise%206504-51-001.pdf","YES"
"August 2026 (2026-08)","6502-55-001","Local-Let Maintenance (District)","Denton","Denton 6502-55-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Denton%206502-55-001.pdf","YES"
"August 2026 (2026-08)","0327-06-031","State-Let Construction","Willacy","Willacy 0327-06-031 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Willacy%200327-06-031%20Proposal.pdf","YES"
"August 2026 (2026-08)","0050-06-108","State-Let Construction","Harris","Harris 0050-06-108 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Harris%200050-06-108%20Proposal.pdf","YES"
"August 2026 (2026-08)","0013-08-154","State-Let Construction","Wise","Wise 0013-08-154 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Wise%200013-08-154%20Proposal.pdf","YES"
"August 2026 (2026-08)","0902-00-323","State-Let Construction","Tarrant","Tarrant 0902-00-323 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Tarrant%200902-00-323%20Proposal.pdf","YES"
"August 2026 (2026-08)","0314-07-070","State-Let Construction","Parker","Parker 0314-07-070 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Parker%200314-07-070%20Proposal.pdf","YES"
"August 2026 (2026-08)","6505-33-001","Local-Let Maintenance (District)","Midland","Midland 6505-33-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Midland%206505-33-001.pdf","YES"
"August 2026 (2026-08)","6500-42-001","Local-Let Maintenance (District)","Denton","Denton 6500-42-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Denton%206500-42-001.pdf","YES"
"August 2026 (2026-08)","6500-51-001","State-Let Maintenance","Webb","Webb 6500-51-001 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Maintenance/2026/08%20August/08%20Proposals/Webb%206500-51-001%20Proposal.pdf","YES"
"August 2026 (2026-08)","6504-53-001","Local-Let Maintenance (District)","Tarrant","Tarrant 6504-53-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Tarrant%206504-53-001.pdf","YES"
"August 2026 (2026-08)","0095-04-079","State-Let Construction","Kaufman","Kaufman 0095-04-079 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Kaufman%200095-04-079%20Proposal.pdf","YES"
"August 2026 (2026-08)","0089-07-166","State-Let Construction","Wharton","Wharton 0089-07-166 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Wharton%200089-07-166%20Proposal.pdf","YES"
"August 2026 (2026-08)","0581-01-177","State-Let Construction","Dallas","Dallas 0581-01-177 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Dallas%200581-01-177%20Proposal.pdf","YES"
"August 2026 (2026-08)","6488-40-001","Local-Let Maintenance (District)","Denton","Denton 6488-40-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Denton%206488-40-001.pdf","YES"
"August 2026 (2026-08)","6487-01-001","Local-Let Maintenance (District)","Dallas","Dallas 6487-01-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Dallas%206487-01-001.pdf","YES"
"August 2026 (2026-08)","6500-90-001","Local-Let Maintenance (District)","Gonzales","Gonzales 6500-90-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Gonzales%206500-90-001.pdf","YES"
"August 2026 (2026-08)","6499-90-001","Local-Let Maintenance (District)","Lamar","Lamar 6499-90-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Lamar%206499-90-001.pdf","YES"
"August 2026 (2026-08)","6506-66-001","Local-Let Maintenance (District)","Fannin","Fannin 6506-66-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Fannin%206506-66-001.pdf","YES"
"August 2026 (2026-08)","6505-55-001","State-Let Maintenance","Hutchinson","Hutchinson 6505-55-001 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Maintenance/2026/08%20August/08%20Proposals/Hutchinson%206505-55-001%20Proposal.pdf","YES"
"August 2026 (2026-08)","0917-16-040","State-Let Construction","Leon","Leon 0917-16-040 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Leon%200917-16-040%20Proposal.pdf","YES"
"August 2026 (2026-08)","0150-02-043","State-Let Construction","Llano","Llano 0150-02-043 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Llano%200150-02-043%20Proposal.pdf","YES"
"August 2026 (2026-08)","0902-20-238","State-Let Construction","Wise","Wise 0902-20-238 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Wise%200902-20-238%20Proposal.pdf","YES"
"August 2026 (2026-08)","0902-90-286","State-Let Construction","Tarrant","Tarrant 0902-90-286 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Tarrant%200902-90-286%20Proposal.pdf","YES"
"August 2026 (2026-08)","3510-04-069","State-Let Construction","TxDOT District","Fort Bend 3510-04-069 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Fort%20Bend%203510-04-069%20Proposal.pdf","YES"
"August 2026 (2026-08)","0041-07-121","State-Let Construction","Potter","Potter 0041-07-121 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Potter%200041-07-121%20Proposal.pdf","YES"
"August 2026 (2026-08)","6505-40-001","Local-Let Maintenance (District)","TxDOT District","Jim Wells 6505-40-001..pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Jim%20Wells%206505-40-001..pdf","YES"
"August 2026 (2026-08)","0027-10-074","State-Let Construction","Harris","Harris 0027-10-074 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Harris%200027-10-074%20Proposal.pdf","YES"
"August 2026 (2026-08)","0186-03-071","State-Let Construction","Burleson","Burleson 0186-03-071 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Burleson%200186-03-071%20Proposal.pdf","YES"
"August 2026 (2026-08)","6497-80-001","Local-Let Maintenance (District)","Nacogdoches","Nacogdoches 6497-80-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Nacogdoches%206497-80-001.pdf","YES"
"August 2026 (2026-08)","6505-37-001","Local-Let Maintenance (District)","Ector","Ector 6505-37-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Ector%206505-37-001.pdf","YES"
"August 2026 (2026-08)","6487-41-001","Local-Let Maintenance (District)","Bastrop","Bastrop 6487-41-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Bastrop%206487-41-001.pdf","YES"
"August 2026 (2026-08)","0254-01-149","State-Let Construction","TxDOT District","Live Oak 0254-01-149 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Live%20Oak%200254-01-149%20Proposal.pdf","YES"
"August 2026 (2026-08)","1023-01-039","State-Let Construction","Chambers","Chambers 1023-01-039 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Chambers%201023-01-039%20Proposal.pdf","YES"
"August 2026 (2026-08)","0920-39-028","State-Let Construction","Chambers","Chambers 0920-39-028 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Chambers%200920-39-028%20Proposal.pdf","YES"
"August 2026 (2026-08)","6488-39-001","Local-Let Maintenance (District)","Denton","Denton 6488-39-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Denton%206488-39-001.pdf","YES"
"August 2026 (2026-08)","6499-31-001","Local-Let Maintenance (District)","Collin","Collin 6499-31-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Collin%206499-31-001.pdf","YES"
"August 2026 (2026-08)","0132-03-036","State-Let Construction","King","King 0132-03-036  Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/King%200132-03-036%20%20Proposal.pdf","YES"
"August 2026 (2026-08)","6487-42-001","Local-Let Maintenance (District)","Burnet","Burnet 6487-42-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Burnet%206487-42-001.pdf","YES"
"August 2026 (2026-08)","0911-28-082","State-Let Construction","Houston","Houston 0911-28-082 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Houston%200911-28-082%20Proposal.pdf","YES"
"August 2026 (2026-08)","6505-48-001","State-Let Maintenance","Cameron","Cameron 6505-48-001 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Maintenance/2026/08%20August/08%20Proposals/Cameron%206505-48-001%20Proposal.pdf","YES"
"August 2026 (2026-08)","0204-06-069","State-Let Construction","Milam","Milam 0204-06-069 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Milam%200204-06-069%20Proposal.pdf","YES"
"August 2026 (2026-08)","6504-88-001","Local-Let Maintenance (District)","Lamar","Lamar 6504-88-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Lamar%206504-88-001.pdf","YES"
"August 2026 (2026-08)","0327-08-109","State-Let Construction","Cameron","Cameron 0327-08-109 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Cameron%200327-08-109%20Proposal.pdf","YES"
"August 2026 (2026-08)","6505-35-001","Local-Let Maintenance (District)","Pecos","Pecos 6505-35-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Pecos%206505-35-001.pdf","YES"
"August 2026 (2026-08)","6497-00-001","Local-Let Maintenance (District)","Harris","Harris 6497-00-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Harris%206497-00-001.pdf","YES"
"August 2026 (2026-08)","1197-01-027","State-Let Construction","Hays","Hays 1197-01-027 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Hays%201197-01-027%20Proposal.pdf","YES"
"August 2026 (2026-08)","6495-42-001","Local-Let Maintenance (District)","Harris","Harris 6495-42-001.pdf","https://ftp.txdot.gov/plans/Local-Let-Maintenance/2026/08%20August/08%20Plans/Harris%206495-42-001.pdf","YES"
"August 2026 (2026-08)","0047-03-106","State-Let Construction","Grayson","Grayson 0047-03-106 Proposal.pdf","https://ftp.txdot.gov/plans/State-Let-Construction/2026/08%20August/08%20Proposals/Grayson%200047-03-106%20Proposal.pdf","YES"
