Sub Index,Record Type,Master (Parent) CSJ,Individual Project CSJ,Has Multi-CSJs?,Sub-CSJ Count,Let Date,County,Highway,District,Project Type,Estimate ($)
1,Sub-CSJ Project,0844-04-011,2252-01-010,Sub-CSJ of 0844-04-011,Sub-CSJ #2,,Collingsworth,,,,0
2,Sub-CSJ Project,1414-01-025,0912-72-876,Sub-CSJ of 1414-01-025,Sub-CSJ #1,,Galveston,,,,0
3,Sub-CSJ Project,1414-01-025,0981-02-014,Sub-CSJ of 1414-01-025,Sub-CSJ #2,,Galveston,,,,0
4,Sub-CSJ Project,1414-01-025,3055-01-011,Sub-CSJ of 1414-01-025,Sub-CSJ #3,,Galveston,,,,0
5,Sub-CSJ Project,1414-01-025,1844-01-032,Sub-CSJ of 1414-01-025,Sub-CSJ #4,,Galveston,,,,0
6,Sub-CSJ Project,1414-01-025,1844-02-025,Sub-CSJ of 1414-01-025,Sub-CSJ #5,,Galveston,,,,0
7,Sub-CSJ Project,1414-01-025,1414-01-025,Sub-CSJ of 1414-01-025,Sub-CSJ #6,,Galveston,,,,0
8,Sub-CSJ Project,0001-01-075,0674-01-079,Sub-CSJ of 0001-01-075,Sub-CSJ #1,,El Paso,,,,0
9,Sub-CSJ Project,0001-01-075,0674-01-080,Sub-CSJ of 0001-01-075,Sub-CSJ #2,,El Paso,,,,0
10,Sub-CSJ Project,0001-01-075,3451-01-050,Sub-CSJ of 0001-01-075,Sub-CSJ #3,,El Paso,,,,0
11,Sub-CSJ Project,0001-01-075,0924-06-721,Sub-CSJ of 0001-01-075,Sub-CSJ #4,,El Paso,,,,0
12,Sub-CSJ Project,0001-01-075,1046-01-048,Sub-CSJ of 0001-01-075,Sub-CSJ #5,,El Paso,,,,0
13,Sub-CSJ Project,0001-01-075,0167-01-135,Sub-CSJ of 0001-01-075,Sub-CSJ #6,,El Paso,,,,0
14,Sub-CSJ Project,0001-01-075,0924-06-724,Sub-CSJ of 0001-01-075,Sub-CSJ #7,,El Paso,,,,0
15,Sub-CSJ Project,0001-01-075,0001-04-106,Sub-CSJ of 0001-01-075,Sub-CSJ #8,,El Paso,,,,0
16,Sub-CSJ Project,0001-01-075,0001-04-107,Sub-CSJ of 0001-01-075,Sub-CSJ #9,,El Paso,,,,0
17,Sub-CSJ Project,0001-01-075,2326-01-032,Sub-CSJ of 0001-01-075,Sub-CSJ #10,,El Paso,,,,0
18,Sub-CSJ Project,0001-01-075,0924-06-716,Sub-CSJ of 0001-01-075,Sub-CSJ #11,,El Paso,,,,0
19,Sub-CSJ Project,0001-01-075,0001-01-075,Sub-CSJ of 0001-01-075,Sub-CSJ #12,,El Paso,,,,0
20,Sub-CSJ Project,0001-01-075,0167-01-136,Sub-CSJ of 0001-01-075,Sub-CSJ #13,,El Paso,,,,0
21,Sub-CSJ Project,0600-01-013,2384-01-011,Sub-CSJ of 0600-01-013,Sub-CSJ #1,,Ward,,,,0
22,Sub-CSJ Project,0600-01-013,0695-01-019,Sub-CSJ of 0600-01-013,Sub-CSJ #2,,Ward,,,,0
23,Sub-CSJ Project,0600-01-013,2262-01-022,Sub-CSJ of 0600-01-013,Sub-CSJ #3,,Ward,,,,0
24,Sub-CSJ Project,0600-01-013,0600-01-013,Sub-CSJ of 0600-01-013,Sub-CSJ #4,,Ward,,,,0
25,Sub-CSJ Project,0600-01-013,0866-07-016,Sub-CSJ of 0600-01-013,Sub-CSJ #5,,Ward,,,,0
26,Sub-CSJ Project,0600-01-013,1639-01-019,Sub-CSJ of 0600-01-013,Sub-CSJ #6,,Ward,,,,0
27,Sub-CSJ Project,0600-01-013,2905-01-015,Sub-CSJ of 0600-01-013,Sub-CSJ #7,,Ward,,,,0
28,Sub-CSJ Project,0600-01-013,2262-03-018,Sub-CSJ of 0600-01-013,Sub-CSJ #8,,Ward,,,,0
29,Sub-CSJ Project,0600-01-013,0600-02-015,Sub-CSJ of 0600-01-013,Sub-CSJ #9,,Ward,,,,0
30,Sub-CSJ Project,0086-07-038,0698-01-018,Sub-CSJ of 0086-07-038,Sub-CSJ #1,,Jim Hogg,,,,0
31,Sub-CSJ Project,0086-07-038,0696-03-018,Sub-CSJ of 0086-07-038,Sub-CSJ #2,,Jim Hogg,,,,0
32,Sub-CSJ Project,0086-07-038,0696-03-017,Sub-CSJ of 0086-07-038,Sub-CSJ #3,,Jim Hogg,,,,0
33,Sub-CSJ Project,0086-07-038,0669-01-068,Sub-CSJ of 0086-07-038,Sub-CSJ #4,,Jim Hogg,,,,0
34,Sub-CSJ Project,0086-07-038,0086-07-038,Sub-CSJ of 0086-07-038,Sub-CSJ #5,,Jim Hogg,,,,0
35,Sub-CSJ Project,0086-07-038,1801-01-065,Sub-CSJ of 0086-07-038,Sub-CSJ #6,,Jim Hogg,,,,0
36,Sub-CSJ Project,0086-07-038,2530-01-017,Sub-CSJ of 0086-07-038,Sub-CSJ #7,,Jim Hogg,,,,0
37,Sub-CSJ Project,0086-07-038,1430-02-018,Sub-CSJ of 0086-07-038,Sub-CSJ #8,,Jim Hogg,,,,0
38,Sub-CSJ Project,0086-07-038,2094-01-075,Sub-CSJ of 0086-07-038,Sub-CSJ #9,,Jim Hogg,,,,0
39,Sub-CSJ Project,0086-07-038,0864-01-082,Sub-CSJ of 0086-07-038,Sub-CSJ #10,,Jim Hogg,,,,0
40,Sub-CSJ Project,0086-07-038,1228-01-014,Sub-CSJ of 0086-07-038,Sub-CSJ #11,,Jim Hogg,,,,0
41,Sub-CSJ Project,0086-07-038,2966-01-017,Sub-CSJ of 0086-07-038,Sub-CSJ #12,,Jim Hogg,,,,0
42,Sub-CSJ Project,0047-06-178,0047-14-092,Sub-CSJ of 0047-06-178,Sub-CSJ #2,,Collin,,,,0
43,Sub-CSJ Project,0873-01-029,1138-01-043,Sub-CSJ of 0873-01-029,Sub-CSJ #2,,Cameron,,,,0
44,Sub-CSJ Project,0873-01-029,1588-01-003,Sub-CSJ of 0873-01-029,Sub-CSJ #3,,Cameron,,,,0
45,Sub-CSJ Project,0873-01-029,1803-03-010,Sub-CSJ of 0873-01-029,Sub-CSJ #4,,Cameron,,,,0
46,Sub-CSJ Project,0873-01-029,1065-02-044,Sub-CSJ of 0873-01-029,Sub-CSJ #5,,Cameron,,,,0
47,Sub-CSJ Project,0873-01-029,1803-02-052,Sub-CSJ of 0873-01-029,Sub-CSJ #6,,Cameron,,,,0
48,Sub-CSJ Project,0873-01-029,2450-01-028,Sub-CSJ of 0873-01-029,Sub-CSJ #7,,Cameron,,,,0
49,Sub-CSJ Project,0873-01-029,1803-02-051,Sub-CSJ of 0873-01-029,Sub-CSJ #8,,Cameron,,,,0
50,Sub-CSJ Project,0873-01-029,2643-01-006,Sub-CSJ of 0873-01-029,Sub-CSJ #9,,Cameron,,,,0
51,Sub-CSJ Project,0873-01-029,1587-01-019,Sub-CSJ of 0873-01-029,Sub-CSJ #10,,Cameron,,,,0
52,Sub-CSJ Project,0901-19-198,0901-19-217,Sub-CSJ of 0901-19-198,Sub-CSJ #1,,Grayson,,,,0
53,Sub-CSJ Project,0901-19-198,0901-19-198,Sub-CSJ of 0901-19-198,Sub-CSJ #2,,Grayson,,,,0
54,Sub-CSJ Project,0901-19-198,0901-32-105,Sub-CSJ of 0901-19-198,Sub-CSJ #3,,Grayson,,,,0
