Master Index,Record Type,Master (Parent) CSJ,Individual Project CSJ,Has Multi-CSJs?,Sub-CSJ Count,Let Date,County,Highway,District,Project Type,Estimate ($)
1,Master Contract,0844-04-011,0844-04-011,Yes (2 Sub-CSJs),2,,Collingsworth,,,,3287111.48
2,Master Contract,1414-01-025,1414-01-025,Yes (6 Sub-CSJs),6,,Galveston,,,,1394168.54
3,Master Contract,6506-98-001,6506-98-001,No (Single CSJ),1,,Smith,,,,260372
4,Master Contract,1352-01-025,1352-01-025,No (Single CSJ),1,,Montague,,,,350000
5,Master Contract,6504-65-001,6504-65-001,No (Single CSJ),1,,Navarro,,,,35492.34
6,Master Contract,6509-63-001,6509-63-001,No (Single CSJ),1,,Lubbock,,,,175000
7,Master Contract,6491-31-001,6491-31-001,No (Single CSJ),1,,Liberty,,,,492586.8
8,Master Contract,0918-00-440,0918-00-440,No (Single CSJ),1,,Dallas,,,,4451905
9,Master Contract,0001-01-075,0001-01-075,Yes (13 Sub-CSJs),13,,El Paso,,,,3804564
10,Master Contract,6506-55-001,6506-55-001,No (Single CSJ),1,,Grayson,,,,720196.8
11,Master Contract,6507-30-001,6507-30-001,No (Single CSJ),1,,Walker,,,,82500
12,Master Contract,6499-61-001,6499-61-001,No (Single CSJ),1,,Montgomery,,,,727189.5
13,Master Contract,6503-74-001,6503-74-001,No (Single CSJ),1,,Nacogdoches,,,,687750
14,Master Contract,6498-39-001,6498-39-001,No (Single CSJ),1,,Henderson,,,,145344.4
15,Master Contract,6502-07-001,6502-07-001,No (Single CSJ),1,,Navarro,,,,159700
16,Master Contract,6499-29-001,6499-29-001,No (Single CSJ),1,,Eastland,,,,193258.05
17,Master Contract,6506-32-001,6506-32-001,No (Single CSJ),1,,Nacogdoches,,,,997023
18,Master Contract,0915-11-037,0915-11-037,No (Single CSJ),1,,Kendall,,,,523737.29
19,Master Contract,6506-58-001,6506-58-001,No (Single CSJ),1,,Tarrant,,,,153302.71
20,Master Contract,0172-09-047,0172-09-047,No (Single CSJ),1,,Tarrant,,,,3514144.18
21,Master Contract,0600-01-013,0600-01-013,Yes (9 Sub-CSJs),9,,Ward,,,,6046052.12
22,Master Contract,6507-00-001,6507-00-001,No (Single CSJ),1,,Walker,,,,118400
23,Master Contract,0086-07-038,0086-07-038,Yes (12 Sub-CSJs),12,,Jim Hogg,,,,4069627.26
24,Master Contract,6501-45-001,6501-45-001,No (Single CSJ),1,,Collin,,,,127342
25,Master Contract,6509-58-001,6509-58-001,No (Single CSJ),1,,Karnes,,,,855000
26,Master Contract,6487-54-001,6487-54-001,No (Single CSJ),1,,Jasper,,,,897329.5
27,Master Contract,6503-36-001,6503-36-001,No (Single CSJ),1,,Dallas,,,,165550
28,Master Contract,6502-56-001,6502-56-001,No (Single CSJ),1,,Cameron,,,,1116965.14
29,Master Contract,6503-45-001,6503-45-001,No (Single CSJ),1,,Grayson,,,,589225
30,Master Contract,6505-03-001,6505-03-001,No (Single CSJ),1,,Hopkins,,,,529638.88
31,Master Contract,6503-56-001,6503-56-001,No (Single CSJ),1,,Angelina,,,,297986
32,Master Contract,6498-35-001,6498-35-001,No (Single CSJ),1,,Collin,,,,71867
33,Master Contract,6504-28-001,6504-28-001,No (Single CSJ),1,,Hale,,,,505439.5
34,Master Contract,1911-01-023,1911-01-023,No (Single CSJ),1,,Galveston,,,,3375346.25
35,Master Contract,6502-74-001,6502-74-001,No (Single CSJ),1,,Ellis,,,,657100
36,Master Contract,6503-37-001,6503-37-001,No (Single CSJ),1,,Dallas,,,,247760
37,Master Contract,6507-87-001,6507-87-001,No (Single CSJ),1,,Grayson,,,,979875
38,Master Contract,0051-09-127,0051-09-127,No (Single CSJ),1,,Galveston,,,,2179545.8
39,Master Contract,6503-06-001,6503-06-001,No (Single CSJ),1,,Kaufman,,,,575225
40,Master Contract,0331-04-074,0331-04-074,No (Single CSJ),1,,Cameron,,,,89950.48
41,Master Contract,6507-18-001,6507-18-001,No (Single CSJ),1,,Walker,,,,153600
42,Master Contract,6508-58-001,6508-58-001,No (Single CSJ),1,,Tom Green,,,,210560
43,Master Contract,6494-80-001,6494-80-001,No (Single CSJ),1,,Navarro,,,,58180
44,Master Contract,0549-02-038,0549-02-038,No (Single CSJ),1,,Fannin,,,,1829363.32
45,Master Contract,0902-39-050,0902-39-050,No (Single CSJ),1,,Palo Pinto,,,,515079.4
46,Master Contract,0722-03-016,0722-03-016,No (Single CSJ),1,,Red River,,,,1707256.67
47,Master Contract,6499-80-001,6499-80-001,No (Single CSJ),1,,Aransas,,,,274987.5
48,Master Contract,6506-28-001,6506-28-001,No (Single CSJ),1,,Lamar,,,,503823.4
