Record Type,Master CSJ,Project CSJ,Is Sub CSJ,Let Date,County,Highway,District,Project Type,Estimate ($),Sub CSJ Count
Master Contract,6506-98-001,6506-98-001,No (Parent),,Smith,,,,260372,0
Master Contract,0844-04-011,0844-04-011,No (Parent),,Collingsworth,,,,3287111.48,0
Master Contract,6504-65-001,6504-65-001,No (Parent),,Navarro,,,,1,0
Master Contract,6499-61-001,6499-61-001,No (Parent),,Montgomery,,,,727189.5,0
Master Contract,1352-01-025,1352-01-025,No (Parent),,Montague,,,,350000,0
Master Contract,1414-01-025,1414-01-025,No (Parent),,Galveston,,,,1394168.54,0
Master Contract,0001-01-075,0001-01-075,No (Parent),,El Paso,,,,3804564,0
Master Contract,6491-31-001,6491-31-001,No (Parent),,Liberty,,,,492586.8,0
Master Contract,6507-30-001,6507-30-001,No (Parent),,Walker,,,,82500,0
Master Contract,6509-63-001,6509-63-001,No (Parent),,Lubbock,,,,175000,0
Master Contract,6506-55-001,6506-55-001,No (Parent),,Grayson,,,,720196.8,0
Master Contract,0172-09-047,0172-09-047,No (Parent),,Tarrant,,,,3514144.18,0
Master Contract,6502-07-001,6502-07-001,No (Parent),,Navarro,,,,159700,0
Master Contract,6503-74-001,6503-74-001,No (Parent),,Nacogdoches,,,,687750,0
Master Contract,6506-32-001,6506-32-001,No (Parent),,Nacogdoches,,,,997023,0
Master Contract,6500-58-001,6500-58-001,No (Parent),,Webb,,,,6683574.77,0
Master Contract,6499-29-001,6499-29-001,No (Parent),,Eastland,,,,193258.05,0
Master Contract,6498-39-001,6498-39-001,No (Parent),,Henderson,,,,145344.4,0
Master Contract,0600-01-013,0600-01-013,No (Parent),,Ward,,,,6046052.12,0
Master Contract,6506-58-001,6506-58-001,No (Parent),,Tarrant,,,,153302.71,0
Master Contract,0086-07-038,0086-07-038,No (Parent),,Jim Hogg,,,,4069627.26,0
Master Contract,0915-11-037,0915-11-037,No (Parent),,Kendall,,,,523737.29,0
Master Contract,6507-00-001,6507-00-001,No (Parent),,Walker,,,,118400,0
