Item Code,Item Description,Spec Book,Unit,Statewide 12-Mo Moving Avg ($),Statewide 3-Mo Moving Avg ($),Engineer Estimate Avg ($),Min Bid Price ($),Max Bid Price ($),Total Awarded Qty (12-Mo),Total Awarded Value ($),Category
"0100-6001","PREPARING ROW (TY 1)","2024/2014","STA",431.2,405.33,405.33,320,850,500,215600,"100 Earthwork"
"0100-6002","PREPARING ROW (TY 2)","2024/2014","AC",450.8,437.28,423.75,326.4,875.5,2070,933156,"100 Earthwork"
"0100-6003","PREPARING ROW (TY 3)","2024/2014","STA",470.4,470.4,442.18,332.8,901,3640,1712256,"100 Earthwork"
"0100-6004","PREPARING ROW (TY 4)","2024/2014","AC",490,504.7,460.6,339.2,926.5,5210,2552900,"100 Earthwork"
"0100-6005","PREPARING ROW (TY 5)","2024/2014","STA",509.6,540.18,479.02,320,952,6780,3455088,"100 Earthwork"
"0100-6006","PREPARING ROW (TY 6)","2024/2014","AC",529.2,497.45,497.45,326.4,977.5,8350,4418820,"100 Earthwork"
"0100-6007","PREPARING ROW (TY 7)","2024/2014","STA",548.8,532.34,515.87,332.8,850,9920,5444096,"100 Earthwork"
"0100-6008","PREPARING ROW (TY 8)","2024/2014","AC",431.2,431.2,405.33,339.2,875.5,11490,4954488,"100 Earthwork"
"0100-6009","PREPARING ROW (TY 9)","2024/2014","STA",450.8,464.32,423.75,320,901,13060,5887448,"100 Earthwork"
"0100-6010","PREPARING ROW (TY 10)","2024/2014","AC",470.4,498.62,442.18,326.4,926.5,3830,1801632,"100 Earthwork"
"0100-6011","PREPARING ROW (TY 11)","2024/2014","STA",490,460.6,460.6,332.8,952,5400,2646000,"100 Earthwork"
"0100-6012","PREPARING ROW (TY 12)","2024/2014","AC",509.6,494.31,479.02,339.2,977.5,6970,3551912,"100 Earthwork"
"0100-6013","PREPARING ROW (TY 13)","2024/2014","STA",529.2,529.2,497.45,320,850,8540,4519368,"100 Earthwork"
"0100-6014","PREPARING ROW (TY 14)","2024/2014","AC",548.8,565.26,515.87,326.4,875.5,10110,5548368,"100 Earthwork"
"0100-6015","PREPARING ROW (TY 15)","2024/2014","STA",431.2,457.07,405.33,332.8,901,11680,5036416,"100 Earthwork"
"0100-6016","PREPARING ROW (TY 16)","2024/2014","AC",450.8,423.75,423.75,339.2,926.5,13250,5973100,"100 Earthwork"
"0100-6017","PREPARING ROW (TY 17)","2024/2014","STA",470.4,456.29,442.18,320,952,14820,6971328,"100 Earthwork"
"0100-6018","PREPARING ROW (TY 18)","2024/2014","AC",490,490,460.6,326.4,977.5,16390,8031100,"100 Earthwork"
"0100-6019","PREPARING ROW (TY 19)","2024/2014","STA",509.6,524.89,479.02,332.8,850,7160,3648736,"100 Earthwork"
"0100-6020","PREPARING ROW (TY 20)","2024/2014","AC",529.2,560.95,497.45,339.2,875.5,8730,4619916,"100 Earthwork"
"0100-6021","PREPARING ROW (TY 21)","2024/2014","STA",548.8,515.87,515.87,320,901,10300,5652640,"100 Earthwork"
"0100-6022","PREPARING ROW (TY 22)","2024/2014","AC",431.2,418.26,405.33,326.4,926.5,11870,5118344,"100 Earthwork"
"0100-6023","PREPARING ROW (TY 23)","2024/2014","STA",450.8,450.8,423.75,332.8,952,13440,6058752,"100 Earthwork"
"0100-6024","PREPARING ROW (TY 24)","2024/2014","AC",470.4,484.51,442.18,339.2,977.5,15010,7060704,"100 Earthwork"
"0100-6025","PREPARING ROW (TY 25)","2024/2014","STA",490,519.4,460.6,320,850,16580,8124200,"100 Earthwork"
"0103-6001","DISPOSAL OF WATER WELLS (TY 1)","2024/2014","EA",3344,3143.36,3143.36,2200,6500,500,1672000,"100 Earthwork"
"0103-6002","DISPOSAL OF WATER WELLS (TY 2)","2024/2014","EA",3496,3391.12,3286.24,2244,6695,2070,7236720,"100 Earthwork"
"0103-6003","DISPOSAL OF WATER WELLS (TY 3)","2024/2014","EA",3648,3648,3429.12,2288,6890,3640,13278720,"100 Earthwork"
"0103-6004","DISPOSAL OF WATER WELLS (TY 4)","2024/2014","EA",3800,3914,3572,2332,7085,5210,19798000,"100 Earthwork"
"0103-6005","DISPOSAL OF WATER WELLS (TY 5)","2024/2014","EA",3952,4189.12,3714.88,2200,7280,6780,26794560,"100 Earthwork"
"0103-6006","DISPOSAL OF WATER WELLS (TY 6)","2024/2014","EA",4104,3857.76,3857.76,2244,7475,8350,34268400,"100 Earthwork"
"0103-6007","DISPOSAL OF WATER WELLS (TY 7)","2024/2014","EA",4256,4128.32,4000.64,2288,6500,9920,42219520,"100 Earthwork"
"0103-6008","DISPOSAL OF WATER WELLS (TY 8)","2024/2014","EA",3344,3344,3143.36,2332,6695,11490,38422560,"100 Earthwork"
"0103-6009","DISPOSAL OF WATER WELLS (TY 9)","2024/2014","EA",3496,3600.88,3286.24,2200,6890,13060,45657760,"100 Earthwork"
"0103-6010","DISPOSAL OF WATER WELLS (TY 10)","2024/2014","EA",3648,3866.88,3429.12,2244,7085,3830,13971840,"100 Earthwork"
"0104-6001","REMOVING CONC (TY 1)","2024/2014","SY",19.36,18.2,18.2,8,65,500,9680,"100 Earthwork"
"0104-6002","REMOVING CONC (TY 2)","2024/2014","LF",20.24,19.63,19.03,8.16,66.95,2070,41896.8,"100 Earthwork"
"0104-6003","REMOVING CONC (TY 3)","2024/2014","EA",21.12,21.12,19.85,8.32,68.9,3640,76876.8,"100 Earthwork"
"0104-6004","REMOVING CONC (TY 4)","2024/2014","CY",22,22.66,20.68,8.48,70.85,5210,114620,"100 Earthwork"
"0104-6005","REMOVING CONC (TY 5)","2024/2014","SY",22.88,24.25,21.51,8,72.8,6780,155126.4,"100 Earthwork"
"0104-6006","REMOVING CONC (TY 6)","2024/2014","LF",23.76,22.33,22.33,8.16,74.75,8350,198396,"100 Earthwork"
"0104-6007","REMOVING CONC (TY 7)","2024/2014","EA",24.64,23.9,23.16,8.32,65,9920,244428.8,"100 Earthwork"
"0104-6008","REMOVING CONC (TY 8)","2024/2014","CY",19.36,19.36,18.2,8.48,66.95,11490,222446.4,"100 Earthwork"
"0104-6009","REMOVING CONC (TY 9)","2024/2014","SY",20.24,20.85,19.03,8,68.9,13060,264334.4,"100 Earthwork"
"0104-6010","REMOVING CONC (TY 10)","2024/2014","LF",21.12,22.39,19.85,8.16,70.85,3830,80889.6,"100 Earthwork"
"0104-6011","REMOVING CONC (TY 11)","2024/2014","EA",22,20.68,20.68,8.32,72.8,5400,118800,"100 Earthwork"
"0104-6012","REMOVING CONC (TY 12)","2024/2014","CY",22.88,22.19,21.51,8.48,74.75,6970,159473.6,"100 Earthwork"
"0104-6013","REMOVING CONC (TY 13)","2024/2014","SY",23.76,23.76,22.33,8,65,8540,202910.4,"100 Earthwork"
"0104-6014","REMOVING CONC (TY 14)","2024/2014","LF",24.64,25.38,23.16,8.16,66.95,10110,249110.4,"100 Earthwork"
"0104-6015","REMOVING CONC (TY 15)","2024/2014","EA",19.36,20.52,18.2,8.32,68.9,11680,226124.8,"100 Earthwork"
"0104-6016","REMOVING CONC (TY 16)","2024/2014","CY",20.24,19.03,19.03,8.48,70.85,13250,268180,"100 Earthwork"
"0104-6017","REMOVING CONC (TY 17)","2024/2014","SY",21.12,20.49,19.85,8,72.8,14820,312998.4,"100 Earthwork"
"0104-6018","REMOVING CONC (TY 18)","2024/2014","LF",22,22,20.68,8.16,74.75,16390,360580,"100 Earthwork"
"0104-6019","REMOVING CONC (TY 19)","2024/2014","EA",22.88,23.57,21.51,8.32,65,7160,163820.8,"100 Earthwork"
"0104-6020","REMOVING CONC (TY 20)","2024/2014","CY",23.76,25.19,22.33,8.48,66.95,8730,207424.8,"100 Earthwork"
"0104-6021","REMOVING CONC (TY 21)","2024/2014","SY",24.64,23.16,23.16,8,68.9,10300,253792,"100 Earthwork"
"0104-6022","REMOVING CONC (TY 22)","2024/2014","LF",19.36,18.78,18.2,8.16,70.85,11870,229803.2,"100 Earthwork"
"0104-6023","REMOVING CONC (TY 23)","2024/2014","EA",20.24,20.24,19.03,8.32,72.8,13440,272025.6,"100 Earthwork"
"0104-6024","REMOVING CONC (TY 24)","2024/2014","CY",21.12,21.75,19.85,8.48,74.75,15010,317011.2,"100 Earthwork"
"0104-6025","REMOVING CONC (TY 25)","2024/2014","SY",22,23.32,20.68,8,65,16580,364760,"100 Earthwork"
"0104-6026","REMOVING CONC (TY 26)","2024/2014","LF",22.88,21.51,21.51,8.16,66.95,18150,415272,"100 Earthwork"
"0104-6027","REMOVING CONC (TY 27)","2024/2014","EA",23.76,23.05,22.33,8.32,68.9,19720,468547.2,"100 Earthwork"
"0104-6028","REMOVING CONC (TY 28)","2024/2014","CY",24.64,24.64,23.16,8.48,70.85,10490,258473.6,"100 Earthwork"
"0104-6029","REMOVING CONC (TY 29)","2024/2014","SY",19.36,19.94,18.2,8,72.8,12060,233481.6,"100 Earthwork"
"0104-6030","REMOVING CONC (TY 30)","2024/2014","LF",20.24,21.45,19.03,8.16,74.75,13630,275871.2,"100 Earthwork"
"0104-6031","REMOVING CONC (TY 31)","2024/2014","EA",21.12,19.85,19.85,8.32,65,15200,321024,"100 Earthwork"
"0104-6032","REMOVING CONC (TY 32)","2024/2014","CY",22,21.34,20.68,8.48,66.95,16770,368940,"100 Earthwork"
"0104-6033","REMOVING CONC (TY 33)","2024/2014","SY",22.88,22.88,21.51,8,68.9,18340,419619.2,"100 Earthwork"
"0104-6034","REMOVING CONC (TY 34)","2024/2014","LF",23.76,24.47,22.33,8.16,70.85,19910,473061.6,"100 Earthwork"
"0104-6035","REMOVING CONC (TY 35)","2024/2014","EA",24.64,26.12,23.16,8.32,72.8,21480,529267.2,"100 Earthwork"
"0104-6036","REMOVING CONC (TY 36)","2024/2014","CY",19.36,18.2,18.2,8.48,74.75,23050,446248,"100 Earthwork"
"0104-6037","REMOVING CONC (TY 37)","2024/2014","SY",20.24,19.63,19.03,8,65,13820,279716.8,"100 Earthwork"
"0104-6038","REMOVING CONC (TY 38)","2024/2014","LF",21.12,21.12,19.85,8.16,66.95,15390,325036.8,"100 Earthwork"
"0104-6039","REMOVING CONC (TY 39)","2024/2014","EA",22,22.66,20.68,8.32,68.9,16960,373120,"100 Earthwork"
"0104-6040","REMOVING CONC (TY 40)","2024/2014","CY",22.88,24.25,21.51,8.48,70.85,18530,423966.4,"100 Earthwork"
"0104-6041","REMOVING CONC (TY 41)","2024/2014","SY",23.76,22.33,22.33,8,72.8,20100,477576,"100 Earthwork"
"0104-6042","REMOVING CONC (TY 42)","2024/2014","LF",24.64,23.9,23.16,8.16,74.75,21670,533948.8,"100 Earthwork"
"0104-6043","REMOVING CONC (TY 43)","2024/2014","EA",19.36,19.36,18.2,8.32,65,23240,449926.4,"100 Earthwork"
"0104-6044","REMOVING CONC (TY 44)","2024/2014","CY",20.24,20.85,19.03,8.48,66.95,24810,502154.4,"100 Earthwork"
"0104-6045","REMOVING CONC (TY 45)","2024/2014","SY",21.12,22.39,19.85,8,68.9,26380,557145.6,"100 Earthwork"
"0104-6046","REMOVING CONC (TY 46)","2024/2014","LF",22,20.68,20.68,8.16,70.85,17150,377300,"100 Earthwork"
"0104-6047","REMOVING CONC (TY 47)","2024/2014","EA",22.88,22.19,21.51,8.32,72.8,18720,428313.6,"100 Earthwork"
"0104-6048","REMOVING CONC (TY 48)","2024/2014","CY",23.76,23.76,22.33,8.48,74.75,20290,482090.4,"100 Earthwork"
"0104-6049","REMOVING CONC (TY 49)","2024/2014","SY",24.64,25.38,23.16,8,65,21860,538630.4,"100 Earthwork"
"0104-6050","REMOVING CONC (TY 50)","2024/2014","LF",19.36,20.52,18.2,8.16,66.95,23430,453604.8,"100 Earthwork"
"0104-6051","REMOVING CONC (TY 51)","2024/2014","EA",20.24,19.03,19.03,8.32,68.9,25000,506000,"100 Earthwork"
"0104-6052","REMOVING CONC (TY 52)","2024/2014","CY",21.12,20.49,19.85,8.48,70.85,26570,561158.4,"100 Earthwork"
"0104-6053","REMOVING CONC (TY 53)","2024/2014","SY",22,22,20.68,8,72.8,28140,619080,"100 Earthwork"
"0104-6054","REMOVING CONC (TY 54)","2024/2014","LF",22.88,23.57,21.51,8.16,74.75,29710,679764.8,"100 Earthwork"
"0104-6055","REMOVING CONC (TY 55)","2024/2014","EA",23.76,25.19,22.33,8.32,65,20480,486604.8,"100 Earthwork"
"0104-6056","REMOVING CONC (TY 56)","2024/2014","CY",24.64,23.16,23.16,8.48,66.95,22050,543312,"100 Earthwork"
"0104-6057","REMOVING CONC (TY 57)","2024/2014","SY",19.36,18.78,18.2,8,68.9,23620,457283.2,"100 Earthwork"
"0104-6058","REMOVING CONC (TY 58)","2024/2014","LF",20.24,20.24,19.03,8.16,70.85,25190,509845.6,"100 Earthwork"
