"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-08","1","Master Contract","0132-03-036","0132-03-036","Yes (2 Sub-CSJs)","2",,"King",,,,"27289982.3"
"2026-08",,"Sub-CSJ Project","0132-03-036","0133-01-055","Sub-CSJ of 0132-03-036","Sub-CSJ #2",,"King",,,,".00"
"2026-08","2","Master Contract","0018-05-089","0018-05-089","No (Single CSJ)","1",,"Webb",,,,"226858175.99"
"2026-08","3","Master Contract","0902-38-134","0902-38-134","No (Single CSJ)","1",,"Parker",,,,"1806940.8"
"2026-08","4","Master Contract","3510-04-070","3510-04-070","Yes (2 Sub-CSJs)","2",,"Fort Bend",,,,"31713551.79"
"2026-08",,"Sub-CSJ Project","3510-04-070","3510-04-072","Sub-CSJ of 3510-04-070","Sub-CSJ #2",,"Fort Bend",,,,".00"
"2026-08","5","Master Contract","6505-50-001","6505-50-001","No (Single CSJ)","1",,"Hemphill",,,,"1656120"
"2026-08","6","Master Contract","1685-05-140","1685-05-140","No (Single CSJ)","1",,"Harris",,,,"2203492.8"
"2026-08","7","Master Contract","6506-23-001","6506-23-001","No (Single CSJ)","1",,"Grayson",,,,"1954944"
"2026-08","8","Master Contract","0081-01-053","0081-01-053","No (Single CSJ)","1",,"Tarrant",,,,"1581478.34"
"2026-08","9","Master Contract","0922-00-080","0922-00-080","No (Single CSJ)","1",,"Webb",,,,"2168274.2"
"2026-08","10","Master Contract","0920-39-033","0920-39-033","No (Single CSJ)","1",,"Chambers",,,,"1431058"
"2026-08","11","Master Contract","0168-03-038","0168-03-038","No (Single CSJ)","1",,"Parmer",,,,"10053818.59"
"2026-08","12","Master Contract","0901-21-022","0901-21-022","No (Single CSJ)","1",,"Franklin",,,,"1535801.14"
"2026-08","13","Master Contract","6505-55-001","6505-55-001","No (Single CSJ)","1",,"Hutchinson",,,,"4090043.45"
"2026-08","14","Master Contract","1756-01-024","1756-01-024","No (Single CSJ)","1",,"Jackson",,,,"935446.45"
"2026-08","15","Master Contract","1586-01-085","1586-01-085","No (Single CSJ)","1",,"Hidalgo",,,,"6597423.3"
"2026-08","16","Master Contract","6508-00-001","6508-00-001","No (Single CSJ)","1",,"Limestone",,,,"42318.72"
"2026-08","17","Master Contract","6497-17-001","6497-17-001","No (Single CSJ)","1",,"Cameron",,,,"521286"
"2026-08","18","Master Contract","0909-00-074","0909-00-074","No (Single CSJ)","1",,"Mclennan",,,,"1849456.42"
"2026-08","19","Master Contract","0025-02-234","0025-02-234","Yes (2 Sub-CSJs)","2",,"Bexar",,,,"10408179.05"
"2026-08",,"Sub-CSJ Project","0025-02-234","0521-06-175","Sub-CSJ of 0025-02-234","Sub-CSJ #2",,"Bexar",,,,".00"
"2026-08","20","Master Contract","0276-07-035","0276-07-035","No (Single CSJ)","1",,"Frio",,,,"8663166.47"
"2026-08","21","Master Contract","1023-01-039","1023-01-039","Yes (2 Sub-CSJs)","2",,"Chambers",,,,"2493248.19"
"2026-08",,"Sub-CSJ Project","1023-01-039","1023-01-040","Sub-CSJ of 1023-01-039","Sub-CSJ #2",,"Chambers",,,,".00"
"2026-08","22","Master Contract","0991-02-014","0991-02-014","No (Single CSJ)","1",,"Karnes",,,,"9367704.15"
"2026-08","23","Master Contract","3534-01-021","3534-01-021","No (Single CSJ)","1",,"Bell",,,,"4466139.97"
"2026-08","24","Master Contract","6496-92-001","6496-92-001","No (Single CSJ)","1",,"Cooke",,,,"1042851.17"
"2026-08","25","Master Contract","6505-48-001","6505-48-001","No (Single CSJ)","1",,"Cameron",,,,"7033325"
"2026-08","26","Master Contract","0140-13-023","0140-13-023","No (Single CSJ)","1",,"Crockett",,,,"19998294.7"
"2026-08","27","Master Contract","6505-38-001","6505-38-001","No (Single CSJ)","1",,"Moore",,,,"1055080"
"2026-08","28","Master Contract","1197-01-027","1197-01-027","No (Single CSJ)","1",,"Hays",,,,"3130181.38"
"2026-08","29","Master Contract","0186-03-071","0186-03-071","Yes (2 Sub-CSJs)","2",,"Burleson",,,,"5320688.55"
"2026-08",,"Sub-CSJ Project","0186-03-071","0116-02-049","Sub-CSJ of 0186-03-071","Sub-CSJ #2",,"Burleson",,,,".00"
"2026-08","30","Master Contract","0027-08-147","0027-08-147","No (Single CSJ)","1",,"Fort Bend",,,,"52496966.16"
"2026-08","31","Master Contract","6509-55-001","6509-55-001","No (Single CSJ)","1",,"Hidalgo",,,,"115902"
"2026-08","32","Master Contract","6507-89-001","6507-89-001","No (Single CSJ)","1",,"Mclennan",,,,"58558.27"
"2026-08","33","Master Contract","6505-41-001","6505-41-001","No (Single CSJ)","1",,"Hansford",,,,"1226016"
"2026-08","34","Master Contract","6507-92-001","6507-92-001","No (Single CSJ)","1",,"Hill",,,,"17280"
"2026-08","35","Master Contract","0013-05-046","0013-05-046","No (Single CSJ)","1",,"Montague",,,,"15521039.92"
"2026-08","36","Master Contract","0902-90-283","0902-90-283","No (Single CSJ)","1",,"Tarrant",,,,"1142056.28"
"2026-08","37","Master Contract","0114-10-102","0114-10-102","No (Single CSJ)","1",,"Washington",,,,"4214218.54"
"2026-08","38","Master Contract","0092-06-111","0092-06-111","Yes (3 Sub-CSJs)","3",,"Navarro",,,,"6654791.38"
"2026-08",,"Sub-CSJ Project","0092-06-111","0093-01-108","Sub-CSJ of 0092-06-111","Sub-CSJ #2",,"Navarro",,,,".00"
"2026-08",,"Sub-CSJ Project","0092-06-111","0166-01-060","Sub-CSJ of 0092-06-111","Sub-CSJ #3",,"Navarro",,,,".00"
"2026-08","39","Master Contract","0276-01-044","0276-01-044","No (Single CSJ)","1",,"Maverick",,,,"11559333.07"
"2026-08","40","Master Contract","6507-91-001","6507-91-001","No (Single CSJ)","1",,"Hill",,,,"21658.12"
"2026-08","41","Master Contract","0327-08-109","0327-08-109","No (Single CSJ)","1",,"Cameron",,,,"224192"
"2026-08","42","Master Contract","0902-90-286","0902-90-286","No (Single CSJ)","1",,"Tarrant",,,,"563798.23"
"2026-08","43","Master Contract","6505-22-001","6505-22-001","No (Single CSJ)","1",,"Eastland",,,,"3216450.08"
"2026-08","44","Master Contract","6505-51-001","6505-51-001","No (Single CSJ)","1",,"Moore",,,,"833063"
"2026-08","45","Master Contract","6507-99-001","6507-99-001","No (Single CSJ)","1",,"Limestone",,,,"18352.81"
"2026-08","46","Master Contract","6508-41-001","6508-41-001","No (Single CSJ)","1",,"San Patricio",,,,"26858.64"
