"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-07","1","Master Contract","6498-12-001","6498-12-001","No (Single CSJ)","1",,"Hill",,,,"1959150"
"2026-07","2","Master Contract","6502-50-001","6502-50-001","No (Single CSJ)","1",,"Brazos",,,,"2360250"
"2026-07","3","Master Contract","0053-08-077","0053-08-077","Yes (2 Sub-CSJs)","2",,"Scurry",,,,"1032036"
"2026-07",,"Sub-CSJ Project","0053-08-077","0053-09-082","Sub-CSJ of 0053-08-077","Sub-CSJ #2",,"Scurry",,,,".00"
"2026-07","4","Master Contract","0266-04-053","0266-04-053","No (Single CSJ)","1",,"Colorado",,,,"5202386.97"
"2026-07","5","Master Contract","0211-10-053","0211-10-053","No (Single CSJ)","1",,"Colorado",,,,"1740773.38"
"2026-07","6","Master Contract","0915-12-751","0915-12-751","Yes (3 Sub-CSJs)","3",,"Bexar",,,,"4603719.4"
"2026-07",,"Sub-CSJ Project","0915-12-751","0915-12-753","Sub-CSJ of 0915-12-751","Sub-CSJ #2",,"Bexar",,,,".00"
"2026-07",,"Sub-CSJ Project","0915-12-751","0915-12-752","Sub-CSJ of 0915-12-751","Sub-CSJ #3",,"Bexar",,,,".00"
"2026-07","7","Master Contract","0007-06-268","0007-06-268","No (Single CSJ)","1",,"Eastland",,,,"1318735.86"
"2026-07","8","Master Contract","1502-01-031","1502-01-031","Yes (2 Sub-CSJs)","2",,"Lubbock",,,,"296722196.95"
"2026-07",,"Sub-CSJ Project","1502-01-031","0068-01-073","Sub-CSJ of 1502-01-031","Sub-CSJ #2",,"Lubbock",,,,".00"
"2026-07","9","Master Contract","0902-00-376","0902-00-376","No (Single CSJ)","1",,"Tarrant",,,,"4999550"
"2026-07","10","Master Contract","0187-05-066","0187-05-066","Yes (2 Sub-CSJs)","2",,"Fort Bend",,,,"425243.67"
"2026-07",,"Sub-CSJ Project","0187-05-066","0543-02-086","Sub-CSJ of 0187-05-066","Sub-CSJ #2",,"Fort Bend",,,,".00"
"2026-07","11","Master Contract","0014-03-088","0014-03-088","No (Single CSJ)","1",,"Johnson",,,,"71229543.02"
"2026-07","12","Master Contract","6493-33-001","6493-33-001","No (Single CSJ)","1",,"Hill",,,,"1693643"
"2026-07","13","Master Contract","0675-08-121","0675-08-121","Yes (3 Sub-CSJs)","3",,"Montgomery",,,,"11173102"
"2026-07",,"Sub-CSJ Project","0675-08-121","3510-04-065","Sub-CSJ of 0675-08-121","Sub-CSJ #2",,"Montgomery",,,,".00"
"2026-07",,"Sub-CSJ Project","0675-08-121","3510-04-064","Sub-CSJ of 0675-08-121","Sub-CSJ #3",,"Montgomery",,,,".00"
"2026-07","14","Master Contract","0492-04-034","0492-04-034","Yes (2 Sub-CSJs)","2",,"Smith",,,,"64389273.99"
"2026-07",,"Sub-CSJ Project","0492-04-034","0492-04-041","Sub-CSJ of 0492-04-034","Sub-CSJ #2",,"Smith",,,,".00"
"2026-07","15","Master Contract","6501-35-001","6501-35-001","No (Single CSJ)","1",,"Wood",,,,"2194000"
"2026-07","16","Master Contract","6502-01-001","6502-01-001","No (Single CSJ)","1",,"Tarrant",,,,"6338356.54"
"2026-07","17","Master Contract","0091-06-061","0091-06-061","No (Single CSJ)","1",,"Dallas",,,,"5613894.9"
"2026-07","18","Master Contract","6497-95-001","6497-95-001","No (Single CSJ)","1",,"Tarrant",,,,"1683221.99"
"2026-07","19","Master Contract","0088-02-063","0088-02-063","Yes (2 Sub-CSJs)","2",,"Goliad",,,,"2373039.29"
"2026-07",,"Sub-CSJ Project","0088-02-063","0088-03-050","Sub-CSJ of 0088-02-063","Sub-CSJ #2",,"Goliad",,,,".00"
"2026-07","20","Master Contract","0508-02-140","0508-02-140","No (Single CSJ)","1",,"Chambers",,,,"3459416.41"
"2026-07","21","Master Contract","0914-04-377","0914-04-377","No (Single CSJ)","1",,"Travis",,,,"16306478.85"
"2026-07","22","Master Contract","0114-09-103","0114-09-103","Yes (10 Sub-CSJs)","10",,"Washington",,,,"815465.51"
"2026-07",,"Sub-CSJ Project","0114-09-103","0186-04-036","Sub-CSJ of 0114-09-103","Sub-CSJ #2",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","0186-03-074","Sub-CSJ of 0114-09-103","Sub-CSJ #3",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","0186-03-073","Sub-CSJ of 0114-09-103","Sub-CSJ #4",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","0185-02-042","Sub-CSJ of 0114-09-103","Sub-CSJ #5",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","0185-03-037","Sub-CSJ of 0114-09-103","Sub-CSJ #6",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","0204-05-046","Sub-CSJ of 0114-09-103","Sub-CSJ #7",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","0262-07-047","Sub-CSJ of 0114-09-103","Sub-CSJ #8",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","1953-01-035","Sub-CSJ of 0114-09-103","Sub-CSJ #9",,"Washington",,,,".00"
"2026-07",,"Sub-CSJ Project","0114-09-103","2133-02-016","Sub-CSJ of 0114-09-103","Sub-CSJ #10",,"Washington",,,,".00"
"2026-07","23","Master Contract","0081-10-057","0081-10-057","Yes (2 Sub-CSJs)","2",,"Grayson",,,,"560439.29"
"2026-07",,"Sub-CSJ Project","0081-10-057","0081-16-004","Sub-CSJ of 0081-10-057","Sub-CSJ #2",,"Grayson",,,,".00"
"2026-07","24","Master Contract","0054-06-113","0054-06-113","No (Single CSJ)","1",,"Brown",,,,"2463639.1"
"2026-07","25","Master Contract","0540-03-039","0540-03-039","No (Single CSJ)","1",,"Brazos",,,,"4315845.66"
"2026-07","26","Master Contract","0902-90-176","0902-90-176","No (Single CSJ)","1",,"Tarrant",,,,"6914803"
"2026-07","27","Master Contract","0902-90-129","0902-90-129","Yes (2 Sub-CSJs)","2",,"Tarrant",,,,"5087705.45"
"2026-07",,"Sub-CSJ Project","0902-90-129","0902-90-270","Sub-CSJ of 0902-90-129","Sub-CSJ #2",,"Tarrant",,,,".00"
"2026-07","28","Master Contract","0249-01-053","0249-01-053","No (Single CSJ)","1",,"Wichita",,,,"2062357.98"
"2026-07","29","Master Contract","0978-01-045","0978-01-045","Yes (3 Sub-CSJs)","3",,"Galveston",,,,"3256548.6"
"2026-07",,"Sub-CSJ Project","0978-01-045","0978-02-085","Sub-CSJ of 0978-01-045","Sub-CSJ #2",,"Galveston",,,,".00"
"2026-07",,"Sub-CSJ Project","0978-01-045","0051-03-122","Sub-CSJ of 0978-01-045","Sub-CSJ #3",,"Galveston",,,,".00"
"2026-07","30","Master Contract","0013-10-098","0013-10-098","No (Single CSJ)","1",,"Tarrant",,,,"8675951.77"
"2026-07","31","Master Contract","6503-27-001","6503-27-001","No (Single CSJ)","1",,"Walker",,,,"1620840"
"2026-07","32","Master Contract","0913-27-094","0913-27-094","No (Single CSJ)","1",,"Victoria",,,,"785402.5"
"2026-07","33","Master Contract","0914-04-367","0914-04-367","Yes (3 Sub-CSJs)","3",,"Travis",,,,"666866.7"
"2026-07",,"Sub-CSJ Project","0914-04-367","0914-04-369","Sub-CSJ of 0914-04-367","Sub-CSJ #2",,"Travis",,,,".00"
"2026-07",,"Sub-CSJ Project","0914-04-367","0914-04-368","Sub-CSJ of 0914-04-367","Sub-CSJ #3",,"Travis",,,,".00"
"2026-07","34","Master Contract","0311-01-019","0311-01-019","No (Single CSJ)","1",,"Donley",,,,"1580346.74"
"2026-07","35","Master Contract","6502-48-001","6502-48-001","No (Single CSJ)","1",,"Lamar",,,,"6428873.14"
"2026-07","36","Master Contract","0914-00-543","0914-00-543","No (Single CSJ)","1",,"Travis",,,,"2376787.95"
"2026-07","37","Master Contract","0138-06-047","0138-06-047","No (Single CSJ)","1",,"Nacogdoches",,,,"65278492.4"
"2026-07","38","Master Contract","0072-12-202","0072-12-202","No (Single CSJ)","1",,"Bexar",,,,"247586.98"
"2026-07","39","Master Contract","2370-01-009","2370-01-009","No (Single CSJ)","1",,"Reeves",,,,"6744963.22"
"2026-07","40","Master Contract","3110-01-003","3110-01-003","No (Single CSJ)","1",,"Houston",,,,"4104552.8"
"2026-07","41","Master Contract","0081-02-080","0081-02-080","No (Single CSJ)","1",,"Tarrant",,,,"459770"
"2026-07","42","Master Contract","0905-06-121","0905-06-121","No (Single CSJ)","1",,"Lubbock",,,,"376554.75"
"2026-07","43","Master Contract","0009-11-269","0009-11-269","Yes (12 Sub-CSJs)","12",,"Dallas",,,,"5674110.3"
