"Month","Sub Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-06","1","Sub-CSJ Project","0027-12-164","0192-01-103","Sub-CSJ of 0027-12-164","Sub-CSJ #2",,"Fort Bend",,,,".00"
"2026-06","2","Sub-CSJ Project","0027-12-164","0027-06-062","Sub-CSJ of 0027-12-164","Sub-CSJ #3",,"Fort Bend",,,,".00"
"2026-06","3","Sub-CSJ Project","0027-12-164","0027-08-186","Sub-CSJ of 0027-12-164","Sub-CSJ #4",,"Fort Bend",,,,".00"
"2026-06","4","Sub-CSJ Project","0027-12-164","0027-07-044","Sub-CSJ of 0027-12-164","Sub-CSJ #5",,"Fort Bend",,,,".00"
"2026-06","5","Sub-CSJ Project","0027-12-164","0089-09-090","Sub-CSJ of 0027-12-164","Sub-CSJ #6",,"Fort Bend",,,,".00"
"2026-06","6","Sub-CSJ Project","0027-12-164","0027-13-245","Sub-CSJ of 0027-12-164","Sub-CSJ #7",,"Fort Bend",,,,".00"
"2026-06","7","Sub-CSJ Project","0105-04-047","0311-03-015","Sub-CSJ of 0105-04-047","Sub-CSJ #2",,"Motley",,,,".00"
"2026-06","8","Sub-CSJ Project","0291-03-077","0526-01-021","Sub-CSJ of 0291-03-077","Sub-CSJ #2",,"Kerr",,,,".00"
"2026-06","9","Sub-CSJ Project","0920-00-167","0920-00-169","Sub-CSJ of 0920-00-167","Sub-CSJ #2",,"Jefferson",,,,".00"
"2026-06","10","Sub-CSJ Project","0920-00-167","0920-02-104","Sub-CSJ of 0920-00-167","Sub-CSJ #3",,"Jefferson",,,,".00"
"2026-06","11","Sub-CSJ Project","0167-01-122","0167-01-137","Sub-CSJ of 0167-01-122","Sub-CSJ #2",,"El Paso",,,,".00"
"2026-06","12","Sub-CSJ Project","1068-04-181","2964-05-034","Sub-CSJ of 1068-04-181","Sub-CSJ #2",,"Dallas",,,,".00"
"2026-06","13","Sub-CSJ Project","1068-04-181","2964-04-010","Sub-CSJ of 1068-04-181","Sub-CSJ #3",,"Dallas",,,,".00"
"2026-06","14","Sub-CSJ Project","0915-00-283","0025-02-230","Sub-CSJ of 0915-00-283","Sub-CSJ #2",,"Bexar",,,,".00"
